id,gene_symbol
158383,1700010L04Rik
46574,6330411E07Rik
106388,6330581N18Rik
106517,6430573F11Rik
87409,A2m
106850,A830049F12Rik
11134,Aanat
35601,Aatf
11138,Aatk
92603,Abat
11141,Abca2
17019,Abcc1
69666,Abhd4
11183,Abl1
85918,Abra
29936,Abt1
56084,Abtb1
11210,Ace
11212,Ache
11250,Actb
11265,Acvr1
11267,Acvr1b
92713,Acvr1c
11268,Acvr2a
11269,Acvr2b
11270,Acvrl1
11275,Adam10
11279,Adam17
11280,Adam19
129123,Adcy1
84170,Adcy2
11302,Adcy9
11303,Adcyap1
11304,Adcyap1r1
11325,Adnp
88720,Adnp2
11327,Adora2a
11338,Adra2a
11339,Adra2b
11340,Adra2c
11341,Adrb1
11356,Aebp2
14573,Aes
16536,Aff3
11391,Agrp
11393,Agt
11394,Agtr1a
86466,Ahctf1
32386,Ahi1
11409,Ahr
64352,Akna
69514,Akr1c18
11438,Akt1
43448,Akt1s1
11445,Alcam
11455,Aldh1a1
19141,Aldh1a2
36126,Aldh1a3
11456,Aldh2
84449,Aldh4a1
11469,Alk
84945,Alx1
11481,Alx3
11482,Alx4
11492,Amh
74698,Amhr2
86931,Amigo1
51564,Amotl1
11387,Angpt1
11388,Angpt2
11389,Angpt4
48554,Angptl1
26108,Angptl2
29914,Angptl3
37146,Angptl4
46567,Angptl6
161133,Angptl7
11522,Ank3
11531,Anxa11
12091,Anxa2
11533,Anxa4
106859,Apba1
11571,Apba2
11576,Apc
23558,Apc2
86431,Aph1a
83933,Aph1b
44160,Aph1c
11590,Aplp1
11602,Apod
11603,Apoe
11607,App
11616,Aqp4
11622,Ar
11625,Arc
11626,Areg
11632,Arf6
87385,Arhgap25
32146,Arhgef25
47212,Arid5b
36074,Arl10
11650,Arnt
11651,Arnt2
11652,Arntl
93055,Arntl2
11663,Artn
11664,Arvcf
11665,Arx
16941,Ascl1
16942,Ascl2
36066,Ascl3
183550,Ascl4
86417,Ascl5
11208,Asic1
11207,Asic2
11686,Astn1
35364,Astn2
11695,Atf1
11696,Atf2
11697,Atf3
11698,Atf4
71668,Atf5
86447,Atf6
12698,Atf6b
11707,Atoh1
32884,Atoh7
46934,Atoh8
11768,Atp10a
11714,Atp1a1
62830,Atp1a2
11718,Atp1b2
11766,Atp8a1
20001,Atxn1
11784,Avp
33433,Avpr1a
26109,Avpr1b
11786,Avpr2
11791,Axin1
11792,Axin2
26110,Axl
26624,B3galt2
93607,B3gat2
32943,B3gnt2
11799,Bach1
11800,Bach2
144469,Baiap3
43853,Bambi
33713,Barhl1
68547,Barhl2
11808,Barx1
11809,Barx2
50322,Batf2
46349,Bbx
11818,Bcan
12710,Bcar1
11821,Bcat1
11824,Bche
13802,Bcl11a
37240,Bcl11b
11829,Bcl2
11911,Bcl2l11
11839,Bcl6
53418,Bcl9
47299,Bcor
107311,Bcorl1
11850,Bdnf
17110,Bhlha15
107457,Bhlha9
37621,Bhlhe22
79902,Bhlhe23
20655,Bhlhe40
55198,Bhlhe41
11907,Bicd1
18223,Bloc1s6
11939,Bmp1
11940,Bmp10
11941,Bmp15
11942,Bmp2
74232,Bmp3
11945,Bmp4
11946,Bmp5
11947,Bmp6
11948,Bmp7
11949,Bmp8a
11952,Bmpr1a
11953,Bmpr1b
11954,Bmpr2
71933,Bmyc
78669,Boc
83840,Bptf
11975,Brca1
92623,Brpf3
89289,Bsx
49848,Btbd11
12008,Btc
85373,Btf3
12019,Btrc
12044,C1qa
12045,C1qb
86401,C1ql2
107334,C230009H10Rik
12053,C4b
12071,Cacna1a
12072,Cacna1b
12076,Cacna1g
37256,Cacna1h
12078,Cacna2d1
12079,Cacna2d3
80075,Cacng5
57576,Cacng7
34014,Cadm1
60961,Cadm3
107340,Cadps2
12092,Calb1
12093,Calb2
12095,Calca
78211,Calcb
12096,Calcr
12107,Camk2a
12111,Camk4
64242,Camta1
85081,Camta2
48446,Car10
12134,Car2
12135,Car3
26965,Cartpt
12152,Casp3
12181,Cbfa2t2
12190,Cbln2
35690,Cbln3
86816,Cbln4
12209,Cck
12210,Cckar
12211,Cckbr
12235,Ccng1
88069,Cd109
32917,Cd164
12269,Cd24a
12290,Cd44
16196,Cd47
12294,Cd59a
12312,Cd9
12325,Cdc42
85297,Cdca7l
12335,Cdh1
107808,Cdh10
12337,Cdh11
84832,Cdh12
12339,Cdh13
12342,Cdh17
107800,Cdh18
12343,Cdh2
23589,Cdh20
22052,Cdh23
88525,Cdh24
12345,Cdh3
12346,Cdh4
12347,Cdh5
12348,Cdh6
88823,Cdh7
12349,Cdh8
12350,Cdh9
81990,Cdhr1
47881,Cdhr5
12353,Cdk5
12354,Cdk5r1
37081,Cdon
50437,Cds1
12375,Cdx1
12376,Cdx2
12377,Cdx4
12391,Cebpa
12394,Cebpd
74949,Cebpe
12396,Cebpg
12399,Celsr1
33178,Celsr2
72096,Celsr3
12401,Cenpb
85972,Cerk
43103,Cers4
47790,Cers5
12412,Cfc1
12418,Cflar
12432,Chat
12446,Chl1
12454,Chrm1
89123,Chrm2
12456,Chrm3
12457,Chrm4
84603,Chrm5
11224,Chrna1
75055,Chrna2
74989,Chrna3
11227,Chrna4
74990,Chrna5
11229,Chrna6
11230,Chrna7
87214,Chrna9
11233,Chrnb2
72205,Chrnb3
72177,Chrnb4
33662,Chst2
84269,Churc1
47563,Cic
12488,Cit
12489,Cited1
17451,Cited2
56568,Clca3a2
12512,Clcn5
18184,Cldn11
12525,Cldn5
35923,Clec7a
12537,Clock
41788,Clstn1
40718,Clstn2
12543,Clu
12582,Cnp
12584,Cnr1
12585,Cnr2
12588,Cntn1
21128,Cntn2
18254,Cntn3
33165,Cntn6
81891,Cntnap4
26666,Cntrl
12593,Coch
12597,Col11a1
12598,Col11a2
12599,Col12a1
12600,Col13a1
12601,Col14a1
12602,Col15a1
71746,Col16a1
12605,Col18a1
12625,Col1a1
88369,Col23a1
47196,Col24a1
12607,Col2a1
12608,Col3a1
12609,Col4a1
12610,Col4a2
12613,Col4a5
12614,Col5a1
12615,Col5a2
12616,Col6a1
12620,Col8a1
12622,Col9a1
12624,Col9a3
12629,Comt
33453,Copg2
26501,Cops5
12637,Cort
47883,Cotl1
12645,Cox6a2
69759,Cphx1
87854,Cpne2
66447,Cpne7
12695,Creb1
12696,Creb3
26175,Creb3l1
83997,Creb3l2
84003,Creb3l3
54124,Creb3l4
12697,Crebbp
87640,Crebzf
12701,Crh
12704,Crhr1
12705,Crhr2
12714,Crlf1
48673,Crtac1
12734,Crx
142452,Crxos
12754,Crym
70024,Csdc2
12760,Csf1
12761,Csf1r
60339,Csnk1a1
68483,Csnk1d
27118,Csnk1e
84736,Csnk1g1
67403,Csnk1g2
12778,Csnk2a1
12783,Csnk2a2
12784,Csnk2b
12793,Cst3
12800,Ctbp2
153829,Ctcfl
12802,Ctf1
13996,Ctgf
12172,Ctnnb1
42930,Ctnnbip1
12173,Ctnnd1
86867,Ctso
36114,Ctsr
12821,Ctss
29776,Cttnbp2
12828,Cux1
12829,Cux2
20075,Cx3cl1
20078,Cxcl12
12551,Cxcr4
106413,Cxxc4
42288,Cyc1
12856,Cyp19a1
87382,Cyp26b1
35335,Cyp39a1
12903,Cyp7b1
15780,Cyr61
106849,D630021H01Rik
84026,Daam1
52282,Daam2
12911,Dab1
12914,Dach1
60489,Dach2
37599,Dact1
12946,Dbh
12947,Dbi
12950,Dbp
12952,Dbx1
85987,Dbx2
47674,Dcaf7
12956,Dcc
12959,Dcn
77609,Dcun1d1
87722,Dcun1d3
64907,Dcun1d4
52703,Dcun1d5
12973,Dcx
12975,Ddc
12978,Ddit3
49125,Ddit4l
12090,Ddr1
17981,Ddr2
12987,Ddx5
33299,Deaf1
62168,Deptor
89267,Disc1
13159,Dkk1
36090,Dkk2
30269,Dkk3
87790,Dkk4
13164,Dlg4
13165,Dlk1
13167,Dll1
13168,Dll3
33776,Dll4
13169,Dlx1
13171,Dlx2
13172,Dlx3
13173,Dlx4
13174,Dlx5
13175,Dlx6
79890,Dmbx1
88733,Dmrt3
35576,Dmrtb1
85070,Dnahc2
86552,Dner
13212,Dnmt1
13214,Dnmt3a
13215,Dnmt3b
33718,Dnmt3l
13226,Doc2b
29596,Dpf1
19471,Dpf2
41755,Dpysl5
42399,Drap1
46274,Draxin
13267,Drd1
13268,Drd2
13269,Drd3
13270,Drd4
13271,Drd5
13273,Drg1
13285,Dsc2
13286,Dsc3
77592,Dscaml1
13289,Dsg1a
86223,Dsg1b
84359,Dsg1c
13291,Dsg3
73778,Dsp
13297,Dst
14133,Dtx1
50039,Dtx2
56674,Dtx3
83873,Dtx4
35685,Dusp14
43446,Dusp6
93453,Duxbl1
13321,Dvl1
13322,Dvl2
13323,Dvl3
13334,E2f1
88998,E2f2
13336,E2f3
68559,E2f4
13338,E2f5
29986,E2f6
32159,E2f7
73120,E2f8
13369,Ebf1
13370,Ebf2
13371,Ebf3
86747,Ebf4
71687,Ece2
13377,Ecel1
13396,Ednrb
13404,Eed
85011,Efemp1
13414,Efna1
13415,Efna2
13416,Efna3
13417,Efna4
13418,Efna5
13419,Efnb1
13420,Efnb2
13421,Efnb3
13423,Egf
13427,Egfr
13431,Egr1
13432,Egr2
13433,Egr3
13439,Ehf
13487,Elf1
45099,Elf2
13488,Elf3
35781,Elf4
13489,Elf5
13490,Elk1
13491,Elk3
13492,Elk4
13574,Emx1
13575,Emx2
13576,En1
13577,En2
13578,Enah
13581,Enc1
13583,Eng
13591,Eomes
108486,Ep300
13597,Epas1
13613,Epha1
87096,Epha10
13614,Epha2
13615,Epha3
13616,Epha4
13617,Epha5
13618,Epha6
13619,Epha7
13620,Epha8
92948,Ephb1
13622,Ephb2
13623,Ephb3
13624,Ephb4
13626,Ephb6
13644,Erbb2
13645,Erbb3
13647,Erbb4
13652,Ereg
13653,Erf
13654,Erg
13759,Esr1
13760,Esr2
26127,Esrra
26128,Esrrb
26129,Esrrg
13761,Esx1
23624,Ets1
23625,Ets2
13786,Etv1
13785,Etv2
26794,Etv3
183554,Etv3l
18378,Etv4
68321,Etv5
13788,Etv6
13797,Evi5
13803,Evl
13805,Evx1
13806,Evx2
13828,Eya4
13850,Faah
120110,Fam189a2
27743,Fam3c
108911,Far2
13879,Fas
13884,Fat1
92930,Fat3
29829,Fbxw4
30242,Fbxw7
13910,Fcna
13911,Fcnb
77439,Ferd3l
92072,Fev
87970,Fez1
34002,Fezf2
13941,Fgf1
13942,Fgf10
13944,Fgf12
13946,Fgf14
13947,Fgf15
56673,Fgf16
13948,Fgf17
13949,Fgf18
13950,Fgf2
56628,Fgf20
41236,Fgf23
13951,Fgf3
13952,Fgf4
13953,Fgf5
13954,Fgf6
13955,Fgf7
13956,Fgf8
13957,Fgf9
13958,Fgfbp1
13959,Fgfr1
13960,Fgfr2
13961,Fgfr3
13963,Fgfr4
78019,Fgfrl1
87798,Fgl1
13967,Fgl2
63140,Fibcd1
13982,Figf
26656,Figla
14024,Fli1
14031,Flt1
14032,Flt3
14034,Flt4
14038,Fmo1
14042,Fmr1
14045,Fn1
106383,Fndc3a
14058,Fos
14061,Fosl2
15150,Foxa1
15151,Foxa2
15152,Foxa3
40891,Foxb1
14017,Foxb2
17069,Foxc1
14011,Foxc2
15005,Foxd1
17070,Foxd2
14997,Foxd3
14014,Foxd4
15003,Foxf1
14015,Foxf2
15004,Foxg1
13883,Foxh1
14010,Foxi1
14999,Foxj1
38070,Foxj2
87088,Foxj3
17193,Foxk1
44679,Foxk2
14018,Foxl1
14012,Foxm1
14994,Foxn1
14013,Foxn2
47216,Foxn3
78123,Foxn4
35738,Foxo1
35764,Foxo3
33892,Foxo4
72814,Foxp1
76994,Foxp2
20134,Foxp3
49964,Foxp4
14996,Foxq1
14016,Foxs1
14072,Frat1
84413,Frat2
88906,Frem2
20141,Frzb
14090,Fstl1
37655,Fxyd6
14136,Fyn
14138,Fzd1
60546,Fzd10
36541,Fzd2
14141,Fzd3
14142,Fzd4
14143,Fzd5
14144,Fzd6
14145,Fzd7
14146,Fzd8
14147,Fzd9
33684,Gabbr1
88950,Gabbr2
14166,Gabpa
14167,Gabpb1
14170,Gabra1
14171,Gabra2
14172,Gabra3
14173,Gabra4
75040,Gabra5
14175,Gabra6
14176,Gabrb1
14177,Gabrb2
14178,Gabrb3
14179,Gabrd
14180,Gabre
14181,Gabrg1
14182,Gabrg2
14183,Gabrg3
85019,Gabrp
36525,Gabrq
14184,Gabrr1
14185,Gabrr2
14191,Gad1
14193,Gad2
14195,Gal
14203,Galr1
14204,Galr2
14208,Gap43
14227,Gas1
14237,Gata2
14238,Gata3
14241,Gata6
43053,Gatad1
87820,Gatad2a
87178,Gbx1
14248,Gbx2
14302,Gcg
14304,Gch1
14307,Gcm1
72051,Gcm2
14320,Gda
14335,Gdf1
14336,Gdf10
14337,Gdf11
23639,Gdf15
11951,Gdf2
14338,Gdf3
14339,Gdf5
88938,Gdf6
88417,Gdf7
14342,Gdf9
14349,Gdnf
14356,Gfap
14361,Gfra1
14362,Gfra2
14363,Gfra3
14377,Ghrh
83947,Ghsr
14385,Gja1
14393,Gjd2
82074,Glcci1
14408,Gli1
14409,Gli2
14410,Gli3
86346,Glis3
14428,Glp1r
14430,Glra1
88304,Glra2
74461,Glra3
14433,Glra4
14434,Glrb
14436,Gls
84969,Gls2
14421,Glul
121534,Gm1441
156642,Gm6753
14472,Gnb4
14490,Gnrh1
14510,Gpc3
89374,Gpr101
31869,Gpr123
84148,Gpr139
88778,Gpr161
52047,Gpr165
87765,Gpr26
14539,Gpr37
82624,Gpr37l1
86553,Gpr55
14542,Gpr56
80092,Gpr6
14384,Gpr83
40979,Gpr88
74944,Gpr98
40898,Gprc5b
14551,Gpx1
14554,Gpx3
83373,Grhl1
90078,Grhl2
14575,Gria1
14576,Gria2
32941,Gria3
14578,Gria4
14579,Grid1
14580,Grid2
14581,Grik1
14582,Grik2
14583,Grik3
74793,Grik4
14585,Grik5
14586,Grin1
14587,Grin2a
14588,Grin2b
14589,Grin2c
14590,Grin2d
88952,Grin3a
81804,Grin3b
14548,Grk4
14592,Grm1
72230,Grm2
72231,Grm3
92621,Grm4
72233,Grm5
72234,Grm6
14599,Grm8
86272,Grp
14612,Gsc
83328,Gsc2
92892,Gsg1l
143309,Gsk3a
35917,Gsk3b
14618,Gsx1
14619,Gsx2
43996,Gtf2e2
42310,Gtf2h5
36358,Gtf2ird1
42439,Gtf3a
87736,Gtf3c1
47593,Gtf3c2
74163,Gusb
14886,Hand1
14890,Hap1
14906,Hbb-b2
14976,Hbegf
49230,Hbp1
14941,Hcn1
14947,Hcrt
87114,Hcrtr1
122371,Hcrtr2
14958,Hdac2
14960,Hdac5
14961,Hdac6
14962,Hdc
89416,Hdx
87804,Helt
14981,Hes1
14982,Hes2
14983,Hes3
14984,Hes5
35214,Hes6
58851,Hes7
14985,Hesx1
14989,Hey1
14990,Hey2
35481,Heyl
14992,Hfe
33717,Hgfac
15018,Hhex
15021,Hhip
15027,Hif1a
32897,Hif3a
74677,Hivep1
15048,Hivep2
16428,Hivep3
85119,Hlf
15059,Hlx
85487,Hmbox1
42710,Hmg20a
15128,Hmg20b
15136,Hmga1
15139,Hmga2
15064,Hmgb1
15129,Hmgb3
45159,Hmgb4
15087,Hmgn1
15106,Hmgn2
60980,Hmgn3
30371,Hmgn5
71059,Hmgxb3
46664,Hmgxb4
15146,Hmx1
15147,Hmx2
15148,Hmx3
21166,Hnf1a
21171,Hnf1b
15153,Hnf4a
29932,Hnf4g
15159,Hnrnpab
26303,Homer1
88527,Homez
50159,Hopx
15169,Hoxa1
15170,Hoxa10
15171,Hoxa11
15173,Hoxa13
15174,Hoxa2
15175,Hoxa3
15176,Hoxa4
15178,Hoxa6
15179,Hoxa7
15180,Hoxa9
15182,Hoxb1
15183,Hoxb13
68056,Hoxb2
15185,Hoxb3
15187,Hoxb4
15188,Hoxb5
15189,Hoxb6
15190,Hoxb7
15191,Hoxb8
15192,Hoxb9
84109,Hoxc10
73821,Hoxc11
15196,Hoxc12
15197,Hoxc13
15198,Hoxc4
15199,Hoxc5
15200,Hoxc6
15201,Hoxc8
15202,Hoxc9
15204,Hoxd1
15205,Hoxd10
15207,Hoxd12
15208,Hoxd13
15209,Hoxd3
15211,Hoxd4
15212,Hoxd8
15213,Hoxd9
15235,Hr
15240,Hrh1
63466,Hrh3
15258,Hsd11b1
15274,Hsf1
56658,Hspb8
15285,Hspd1
15325,Htr1a
15326,Htr1b
15327,Htr1d
15332,Htr1f
15333,Htr2a
15334,Htr2b
15335,Htr2c
15336,Htr3a
36293,Htr3b
15337,Htr4
15338,Htr5a
15339,Htr5b
15340,Htr6
15341,Htr7
15669,Icam2
15671,Icam5
15674,Id1
15675,Id2
15676,Id3
15677,Id4
15732,Ifit3
15773,Igf1
15774,Igf1r
15775,Igf2
15779,Igfbp1
15781,Igfbp2
15782,Igfbp3
15783,Igfbp4
15784,Igfbp5
15785,Igfbp6
29552,Igfbp7
86416,Igfn1
47899,Igsf5
22535,Ikzf1
42986,Ikzf5
15937,Il13ra1
15943,Il16
15950,Il1r1
15968,Il6st
16095,Inha
16096,Inhba
16097,Inhbb
16098,Inhbc
16099,Inhbe
16102,Inpp1
87845,Inpp4b
23672,Insl5
27101,Insl6
32944,Insm1
16110,Insr
23673,Insrr
16121,Invs
16135,Irf1
16136,Irf2
16143,Irs4
16144,Irx1
16145,Irx2
16146,Irx3
30400,Irx4
33643,Irx5
40980,Irx6
16165,Isl1
68525,Isl2
42150,Isoc1
47438,Isx
16173,Itga3
16174,Itga4
16182,Itgam
16183,Itgav
16185,Itgb1
16189,Itgb3
107845,Itgb8
85894,Itgbl1
16199,Itih3
16202,Itln1
143285,Itlnb
16211,Itpr1
16216,Itsn1
16222,Jag1
16223,Jag2
58180,Jam3
87350,Jazf1
57385,Jdp2
72988,Jmjd1c
16242,Jrk
16249,Jun
16251,Jund
85129,Kat7
16258,Kcna1
16263,Kcna2
16270,Kcnab1
16272,Kcnab3
62911,Kcnb2
92471,Kcnc2
16277,Kcnc3
16281,Kcnd2
42576,Kcng4
82041,Kcnh7
56676,Kcnip2
16288,Kcnj12
16295,Kcnj6
16299,Kcnk2
37365,Kcnmb4
79905,Kcnn2
75016,Kcnq3
88550,Kctd12
69605,Kctd9
51446,Kdm5b
16315,Kdr
16347,Kif5c
16363,Kit
17080,Kitl
42120,Klf15
16371,Klf2
16373,Klf4
12009,Klf5
23602,Klf6
60343,Klf7
83975,Klhl29
87181,Kmt2c
